District,Type_of_sl,LU_2010,LU_2018,POINT_X,POINT_Y,Rainfall(mm),Normal(mm)
2,1,4,4,75.578194,12.158077,2450.9,2234.9
2,1,14,14,75.784794,11.836021,2450.9,2234.9
2,1,14,14,75.797646,12.01746,2450.9,2234.9
2,1,14,14,75.790758,12.008411,2450.9,2234.9
2,3,14,14,75.833071,11.9574,2450.9,2234.9
2,1,14,14,75.848149,11.964155,2450.9,2234.9
2,3,14,14,75.756567,11.810417,2450.9,2234.9
2,3,14,14,75.632524,12.086906,2450.9,2234.9
2,1,14,14,75.500368,12.186456,2450.9,2234.9
2,1,15,15,75.735502,11.785893,2450.9,2234.9
2,1,15,15,75.851125,11.855684,2450.9,2234.9
2,3,15,15,75.840235,11.913304,2450.9,2234.9
2,3,15,15,75.835616,11.914234,2450.9,2234.9
2,1,15,15,75.772752,12.016459,2450.9,2234.9
2,1,15,15,75.796438,12.006968,2450.9,2234.9
2,3,15,15,75.525891,12.182734,2450.9,2234.9
2,1,15,15,75.6908,12.08867,2450.9,2234.9
2,2,15,15,75.69022,12.09856,2450.9,2234.9
2,1,15,15,75.75856,12.07206,2450.9,2234.9
2,1,15,15,75.75761,12.07092,2450.9,2234.9
2,3,15,15,75.71351,12.02903,2450.9,2234.9
2,1,15,15,75.77653,12.02021,2450.9,2234.9
2,3,15,15,75.75671,12.00518,2450.9,2234.9
2,1,15,15,75.778428,12.014423,2450.9,2234.9
2,1,15,15,75.86396,11.86084,2450.9,2234.9
2,3,15,15,75.87109,11.86205,2450.9,2234.9
2,3,15,15,75.85948,11.91209,2450.9,2234.9
2,1,15,15,75.640937,12.126233,2450.9,2234.9
2,1,15,15,75.571564,12.163938,2450.9,2234.9
2,1,15,15,75.5749,12.13916,2450.9,2234.9
2,1,15,15,75.6475,11.97909,2450.9,2234.9
2,1,15,15,75.628019,12.129245,2450.9,2234.9
2,1,15,15,75.780928,12.047046,2450.9,2234.9
2,1,15,24,75.857733,11.852303,2450.9,2234.9
2,3,15,24,75.842196,11.91273,2450.9,2234.9
2,1,24,24,75.801807,12.005634,2450.9,2234.9
2,1,24,24,75.580118,12.156455,2450.9,2234.9
2,3,24,24,75.641438,12.128683,2450.9,2234.9
2,3,24,24,75.632936,12.085419,2450.9,2234.9
2,3,24,24,75.610743,12.136038,2450.9,2234.9
2,3,24,24,75.516263,12.22944,2450.9,2234.9
2,3,24,24,75.595867,12.134203,2450.9,2234.9
2,1,24,24,75.69389,12.09171,2450.9,2234.9
2,1,15,24,75.856777,11.852385,2450.9,2234.9
2,1,24,24,75.60595,12.14786,2450.9,2234.9
2,2,1,1,75.786513,12.053308,2450.9,2234.9
2,1,14,14,75.935527,11.908762,2450.9,2234.9
2,1,14,14,75.913826,11.917996,2450.9,2234.9
2,1,14,14,75.914908,11.9181,2450.9,2234.9
2,1,14,14,75.918579,11.917215,2450.9,2234.9
2,1,14,14,75.920745,11.912465,2450.9,2234.9
2,1,14,14,75.92101,11.909558,2450.9,2234.9
2,1,14,14,75.923699,11.918033,2450.9,2234.9
2,1,14,14,75.925098,11.91922,2450.9,2234.9
2,1,14,14,75.925722,11.91822,2450.9,2234.9
2,1,14,14,75.926224,11.918043,2450.9,2234.9
2,1,14,14,75.925494,11.917611,2450.9,2234.9
2,1,14,14,75.925872,11.904238,2450.9,2234.9
2,1,14,14,75.923803,11.90146,2450.9,2234.9
2,1,14,14,75.923408,11.898385,2450.9,2234.9
2,1,14,14,75.888771,11.847201,2450.9,2234.9
2,1,14,14,75.921496,11.895307,2450.9,2234.9
2,1,14,14,75.920929,11.891565,2450.9,2234.9
2,1,14,14,75.924772,11.890685,2450.9,2234.9
2,1,14,14,75.887242,11.880505,2450.9,2234.9
2,1,14,14,75.886177,11.878862,2450.9,2234.9
